"","Number","Structure","Immediate.parent","Immediate.child.children"
"1",1,"SFG_L_1","SFG_L_2",NA
"2",2,"SFG_R_1","SFG_R_2",NA
"3",3,"SFG_PFC_L_1","SFG_L_2",NA
"4",4,"SFG_PFC_R_1","SFG_R_2",NA
"5",5,"SFG_pole_L_1","SFG_L_2",NA
"6",6,"SFG_pole_R_1","SFG_R_2",NA
"7",7,"MFG_L_1","MFG_L_2",NA
"8",8,"MFG_R_1","MFG_R_2",NA
"9",9,"MFG_DPFC_L_1","MFG_L_2",NA
"10",10,"MFG_DPFC_R_1","MFG_R_2",NA
"11",11,"IFG_opercularis_L_1","IFG_L_2",NA
"12",12,"IFG_opercularis_R_1","IFG_R_2",NA
"13",13,"IFG_orbitalis_L_1","IFG_L_2",NA
"14",14,"IFG_orbitalis_R_1","IFG_R_2",NA
"15",15,"IFG_triangularis_L_1","IFG_L_2",NA
"16",16,"IFG_triangularis_R_1","IFG_R_2",NA
"17",17,"LFOG_L_1","OG_L_2",NA
"18",18,"LFOG_R_1","OG_R_2",NA
"19",19,"MFOG_L_1","OG_L_2",NA
"20",20,"MFOG_R_1","OG_R_2",NA
"21",21,"RG_L_1","RG_L_2",NA
"22",22,"RG_R_1","RG_R_2",NA
"23",23,"PoCG_L_1","PoCG_L_2",NA
"24",24,"PoCG_R_1","PoCG_R_2",NA
"25",25,"PrCG_L_1","PrCG_L_2",NA
"26",26,"PrCG_R_1","PrCG_R_2",NA
"27",27,"SPG_L_1","SPG_L_2",NA
"28",28,"SPG_R_1","SPG_R_2",NA
"29",29,"SMG_L_1","SMG_L_2",NA
"30",30,"SMG_R_1","SMG_R_2",NA
"31",31,"AG_L_1","AG_L_2",NA
"32",32,"AG_R_1","AG_R_2",NA
"33",33,"PrCu_L_1","PrCu_L_2",NA
"34",34,"PrCu_R_1","PrCu_R_2",NA
"35",35,"STG_L_1","STG_L_2",NA
"36",36,"STG_R_1","STG_R_2",NA
"37",37,"STG_L_pole_1","STG_L_2",NA
"38",38,"STG_R_pole_1","STG_R_2",NA
"39",39,"MTG_L_1","MTG_L_2",NA
"40",40,"MTG_R_1","MTG_R_2",NA
"41",41,"MTG_L_pole_1","MTG_L_2",NA
"42",42,"MTG_R_pole_1","MTG_R_2",NA
"43",43,"ITG_L_1","ITG_L_2",NA
"44",44,"ITG_R_1","ITG_R_2",NA
"45",45,"PHG_L_1","Limbic_L_2",NA
"46",46,"PHG_R_1","Limbic_R_2",NA
"47",47,"ENT_L_1","Limbic_L_2",NA
"48",48,"ENT_R_1","Limbic_R_2",NA
"49",49,"FuG_L_1","FuG_L_2",NA
"50",50,"FuG_R_1","FuG_R_2",NA
"51",51,"SOG_L_1","SOG_L_2",NA
"52",52,"SOG_R_1","SOG_R_2",NA
"53",53,"MOG_L_1","MOG_L_2",NA
"54",54,"MOG_R_1","MOG_R_2",NA
"55",55,"IOG_L_1","IOG_L_2",NA
"56",56,"IOG_R_1","IOG_R_2",NA
"57",57,"Cu_L_1","Cu_L_2",NA
"58",58,"Cu_R_1","Cu_R_2",NA
"59",59,"LG_L_1","LG_L_2",NA
"60",60,"LG_R_1","LG_R_2",NA
"61",61,"rostral_ACC_L_1","Cingulate_L_2",NA
"62",62,"rostral_ACC_R_1","Cingulate_R_2",NA
"63",63,"subcallosal_ACC_L_1","Cingulate_L_2",NA
"64",64,"subcallosal_ACC_R_1","Cingulate_R_2",NA
"65",65,"subgenual_ACC_L_1","Cingulate_L_2",NA
"66",66,"subgenual_ACC_R_1","Cingulate_R_2",NA
"67",67,"dorsal_ACC_L_1","Cingulate_L_2",NA
"68",68,"dorsal_ACC_R_1","Cingulate_R_2",NA
